int_id,name,abbrev,t_age,b_age,int_type,color
1415,C6Cn.1n,,22.564,22.754,sub-age,#FFFF33
1414,C6Cn.1r,,22.754,22.902,sub-age,#FFFF33
1413,C6Cn.2n,,22.902,23.04,sub-age,#FFFF33
1412,C6Cn.2r,,23.04,23.233,sub-age,#FEE6AA
1411,C6Cn.3n,,23.233,23.295,sub-age,#FEE6AA
1410,C6Cr,,23.295,23.962,sub-age,#FEE6AA
1409,C7n.1n,,23.962,24,sub-age,#FEE6AA
1408,C7n.1r,,24,24.109,sub-age,#FEE6AA
1407,C7n.2n,,24.109,24.474,sub-age,#FEE6AA
1406,C7r,,24.474,24.761,sub-age,#FEE6AA
1405,C7An,,24.761,24.984,sub-age,#FEE6AA
1404,C7Ar,,24.984,25.099,sub-age,#FEE6AA
1403,C8n.1n,,25.099,25.264,sub-age,#FEE6AA
1402,C8n.1r,,25.264,25.304,sub-age,#FEE6AA
1401,C8n.2n,,25.304,25.987,sub-age,#FEE6AA
1400,C8r,,25.987,26.42,sub-age,#FEE6AA
1399,C9n,,26.42,27.439,sub-age,#FEE6AA
1398,C9r,,27.439,27.859,sub-age,#FEE6AA
1397,C10n.1n,,27.859,28.087,sub-age,#FEE6AA
1396,C10n.1r,,28.087,28.141,sub-age,#FDC07A
1395,C10n.2n,,28.141,28.278,sub-age,#FED99A
1394,C10r,,28.278,29.183,sub-age,#FED99A
1393,C11n.1n,,29.183,29.477,sub-age,#FED99A
1392,C11n.1r,,29.477,29.527,sub-age,#FED99A
1391,C11n.2n,,29.527,29.97,sub-age,#FED99A
1390,C11r,,29.97,30.591,sub-age,#FED99A
1389,C12n,,30.591,31.034,sub-age,#FED99A
1388,C12r,,31.034,33.157,sub-age,#FED99A
1387,C13n,,33.157,33.705,sub-age,#FED99A
1386,C13r,,33.705,34.999,sub-age,#FDCDA1
1385,C15n,,34.999,35.294,sub-age,#FDCDA1
1384,C15r,,35.294,35.706,sub-age,#FDCDA1
1383,C16n.1n,,35.706,35.892,sub-age,#FDCDA1
1382,C16n.1r,,35.892,36.051,sub-age,#FDCDA1
1381,C16n.2n,,36.051,36.7,sub-age,#FDCDA1
1380,C16r,,36.7,36.969,sub-age,#FDCDA1
1379,C17n.1n,,36.969,37.753,sub-age,#FDCDA1
1378,C17n.1r,,37.753,37.872,sub-age,#FDB46C
1377,C17n.2n,,37.872,38.093,sub-age,#FDC091
1376,C17n.2r,,38.093,38.159,sub-age,#FDC091
1375,C17n.3n,,38.159,38.333,sub-age,#FDC091
1374,C17r,,38.333,38.615,sub-age,#FDC091
1373,C18n.1n,,38.615,39.627,sub-age,#FDC091
1372,C18n.1r,,39.627,39.698,sub-age,#FDC091
1371,C18n.2n,,39.698,40.145,sub-age,#FDC091
1370,C18r,,40.145,41.154,sub-age,#FDC091
1369,C19n,,41.154,41.39,sub-age,#FDB46C
1368,C19r,,41.39,42.301,sub-age,#FCB482
1367,C20n,,42.301,43.432,sub-age,#FCB482
1366,C20r,,43.432,45.724,sub-age,#FCB482
1365,C21n,,45.724,47.349,sub-age,#FCB482
1364,C21r,,47.349,48.566,sub-age,#FDB46C
1363,C22n,,48.566,49.344,sub-age,#FCA773
1362,C22r,,49.344,50.628,sub-age,#FCA773
1361,C23n.1n,,50.628,50.835,sub-age,#FCA773
1360,C23n.1r,,50.835,50.961,sub-age,#FCA773
1359,C23n.2n,,50.961,51.833,sub-age,#FCA773
1358,C23r,,51.833,52.62,sub-age,#FCA773
1357,C24n1n,,52.62,53.074,sub-age,#FCA773
1356,C24n.1r,,53.074,53.199,sub-age,#FCA773
1355,C24n.2n,,53.199,53.374,sub-age,#FCA773
1354,C24n.2r,,53.374,53.416,sub-age,#FCA773
1353,C24n.3n,,53.416,53.983,sub-age,#FCA773
1352,C24r,,53.983,57.101,subchron,#FD9A52
1351,C25n,,57.101,57.656,subchron,#FDBF6F
1350,C25r,,57.656,58.959,subchron,#FDBF6F
1349,C26n,,58.959,59.237,subchron,#FDA75F
1348,C26r,,59.237,62.221,subchron,#FDA75F
1347,C27n,,62.221,62.517,subchron,#FDB462
1346,C27r,,62.517,63.494,subchron,#FDB462
1345,C28n,,63.494,64.667,subchron,#FDB462
1344,C28r,,64.667,64.958,subchron,#FDB462
1343,C29n,,64.958,65.688,subchron,#FDB462
1342,C29r,,65.688,66.398,subchron,#D2C055
1341,C30n,,66.398,68.196,subchron,#F2FA8C
1340,C30r,,68.196,68.369,subchron,#F2FA8C
1339,C31n,,68.369,69.269,subchron,#F2FA8C
1338,C31r,,69.269,71.449,subchron,#F2FA8C
1337,C32n.1n,,71.449,71.689,subchron,#F2FA8C
1336,C32n.1r,,71.689,71.939,subchron,#F2FA8C
1335,C32n.2n,,71.939,73.649,subchron,#A6D84A
1334,C32r.1r,,73.649,73.949,subchron,#E6F47F
1333,C32r.1n,,73.949,74.049,subchron,#E6F47F
1332,C32r.2r,,74.049,74.309,subchron,#E6F47F
1331,C33n,,74.309,79.9,subchron,#E6F47F
1330,C33r,,79.9,83.64,subchron,#A6D84A
1329,C34n,,83.64,125.93,subchron,#7FC64E
1328,M0r,,125.93,126.3,subchron,#B3DF7F
1327,M1n,,126.3,128.32,subchron,#B3DF7F
1326,M1r,,128.32,128.66,subchron,#B3DF7F
1325,M3n,,128.66,129.11,subchron,#B3DF7F
1324,M3r,,129.11,130.6,subchron,#8CCD57
1323,M5n,,130.6,131.43,subchron,#A6D975
1322,M5r,,131.43,131.74,subchron,#A6D975
1321,M6n,,131.74,131.92,subchron,#A6D975
1320,M6r,,131.92,132.04,subchron,#A6D975
1319,M7n,,132.04,132.27,subchron,#A6D975
1318,M7r,,132.27,132.55,subchron,#A6D975
1317,M8n,,132.55,132.8,subchron,#A6D975
1316,M8r,,132.8,133.05,subchron,#8CCD57
1315,M9n,,133.05,133.3,subchron,#99D36A
1314,M9r,,133.3,133.58,subchron,#99D36A
1313,M10n,,133.58,133.88,subchron,#99D36A
1312,M10r,,133.88,134.48,subchron,#99D36A
1311,M10Nn.1r,,134.48,134.51,subchron,#99D36A
1310,M10Nn.2n,,134.51,134.76,subchron,#99D36A
1309,M10Nn.2r,,134.76,134.78,subchron,#99D36A
1308,M10Nn.3n,,134.78,135,subchron,#99D36A
1307,M10Nr,,135,135.32,subchron,#99D36A
1306,M11n,,135.32,135.92,subchron,#99D36A
1305,M11r.1r,,135.92,136.11,subchron,#99D36A
1304,M11r.1n,,136.11,136.13,subchron,#99D36A
1303,M11r.2r,,136.13,136.29,subchron,#99D36A
1302,M11An.1n,,136.29,136.69,subchron,#99D36A
1301,M11An.1r,,136.69,136.74,subchron,#99D36A
1300,M11An.2n,,136.74,136.8,subchron,#99D36A
1299,M11Ar,,136.8,136.87,subchron,#99D36A
1298,M12n,,136.87,137.06,subchron,#99D36A
1297,M12r.1r,,137.06,137.73,subchron,#99D36A
1296,M12r.1n,,137.73,137.8,subchron,#99D36A
1295,M12r.2r,,137.8,137.94,subchron,#99D36A
1294,M12An,,137.94,138.17,subchron,#99D36A
1293,M12Ar,,138.17,138.25,subchron,#99D36A
1292,M13n,,138.25,138.42,subchron,#99D36A
1291,M13r,,138.42,138.66,subchron,#99D36A
1290,M14n,,138.66,138.91,subchron,#99D36A
1289,M14r,,138.91,139.59,subchron,#99D36A
1288,M15n,,139.59,139.94,subchron,#8CCD57
1287,M15r,,139.94,140.42,subchron,#8CCD57
1286,M16n,,140.42,141.64,subchron,#8CCD60
1285,M16r,,141.64,142.22,subchron,#8CCD60
1284,M17n,,142.22,142.57,subchron,#8CCD60
1283,M17r,,142.57,144,subchron,#8CCD60
1282,M18n,,144,144.64,subchron,#8CCD60
1281,M18r,,144.64,145.01,subchron,#5ABC8C
1280,M19n.1n,,145.01,145.14,subchron,#D9F1F7
1279,M19n.1r,,145.14,145.19,subchron,#D9F1F7
1278,M19n.2n,,145.19,146.28,subchron,#D9F1F7
1277,M19r,,146.28,146.54,subchron,#D9F1F7
1276,M20n.1n,,146.54,146.9,subchron,#D9F1F7
1275,M20n.1r,,146.9,146.96,subchron,#D9F1F7
1274,M20n.2n,,146.96,147.72,subchron,#D9F1F7
1273,M20r,,147.72,148.44,subchron,#D9F1F7
1272,M21n,,148.44,149.35,subchron,#D9F1F7
1271,M21r,,149.35,149.8,subchron,#D9F1F7
1270,M22n.1n,,149.8,151.12,subchron,#D9F1F7
1269,M22n.1r,,151.12,151.17,subchron,#D9F1F7
1268,M22n.2n,,151.17,151.21,subchron,#D9F1F7
1267,M22n.2r,,151.21,151.25,subchron,#D9F1F7
1266,M22n.3n,,151.25,151.32,subchron,#D9F1F7
1265,M22r,,151.32,151.92,subchron,#D9F1F7
1264,M22An,,151.92,152.06,subchron,#D9F1F7
1263,M22Ar,,152.06,152.25,subchron,#CCECF4
1262,M23n,,152.25,152.64,subchron,#CCECF4
1261,M23r.1r,,152.64,152.93,subchron,#CCECF4
1260,M23r.1n,,152.93,152.96,subchron,#CCECF4
1259,M23r.2r,,152.96,153.62,subchron,#CCECF4
1258,M24n,,153.62,153.87,subchron,#CCECF4
1257,M24r.1r,,153.87,154.35,subchron,#CCECF4
1256,M24r.1n,,154.35,154.38,subchron,#CCECF4
1255,M24r.2r,,154.38,154.59,subchron,#CCECF4
1254,M24An,,154.59,154.73,subchron,#CCECF4
1253,M24Ar,,154.73,155.01,subchron,#CCECF4
1252,M24Bn,,155.01,155.38,subchron,#CCECF4
1251,M24Br,,155.38,155.54,subchron,#CCECF4
1250,M25n,,155.54,155.85,subchron,#CCECF4
1249,M25r,,155.85,156.04,subchron,#CCECF4
1248,M25An.1n,,156.04,156.16,subchron,#CCECF4
1247,M25An.1r,,156.16,156.22,subchron,#CCECF4
1246,M25An.2n,,156.22,156.29,subchron,#CCECF4
1245,M25An.2r,,156.29,156.39,subchron,#CCECF4
1244,M25An.3n,,156.39,156.42,subchron,#CCECF4
1243,M25Ar,,156.42,156.56,subchron,#CCECF4
1242,M26n.1n,,156.56,156.69,subchron,#CCECF4
1241,M26n.1r,,156.69,156.75,subchron,#CCECF4
1240,M26n.2n,,156.75,156.78,subchron,#CCECF4
1239,M26n.2r,,156.78,156.84,subchron,#CCECF4
1238,M26n.3n,,156.84,156.94,subchron,#CCECF4
1237,M26n.3r,,156.94,157.04,subchron,#CCECF4
1236,M26n.4n,,157.04,157.06,subchron,#CCECF4
1235,M26r,,157.06,157.25,subchron,#CCECF4
1234,M27n,,157.25,157.4,subchron,#B3E3EE
1233,M27r,,157.4,157.57,subchron,#BFE7F1
1232,M28n.1n,,157.57,157.87,subchron,#BFE7F1
1231,M28n.1r,,157.87,158.02,subchron,#BFE7F1
1230,M28n.2n,,158.02,158.12,subchron,#BFE7F1
1229,M28n.2r,,158.12,158.36,subchron,#BFE7F1
1228,M28n.3n,,158.36,158.6,subchron,#BFE7F1
1227,M28n.3r,,158.6,158.69,subchron,#BFE7F1
1226,M28n.4n,,158.69,158.78,subchron,#BFE7F1
1225,M28r,,158.78,158.89,subchron,#BFE7F1
1224,M29n,,158.89,159.14,subchron,#BFE7F1
1223,M29r,,159.14,159.38,subchron,#BFE7F1
1222,M30n,,159.38,159.62,subchron,#BFE7F1
1221,M30r,,159.62,159.78,subchron,#BFE7F1
1220,M31n,,159.78,160.07,subchron,#BFE7F1
1219,M31r,,160.07,160.15,subchron,#BFE7F1
1218,M32n,,160.15,160.47,subchron,#BFE7F1
1217,M32r,,160.47,160.73,subchron,#BFE7F1
1216,M33n.1n,,160.73,160.93,subchron,#BFE7F1
1215,M33n.1r,,160.93,161.06,subchron,#BFE7F1
1214,M33n.2n,,161.06,161.14,subchron,#BFE7F1
1213,M33n.2r,,161.14,161.21,subchron,#BFE7F1
1212,M33n.3n,,161.21,161.28,subchron,#BFE7F1
1211,M33n.3r,,161.28,161.39,subchron,#BFE7F1
1210,M33n.4n,,161.39,161.61,subchron,#BFE7F1
1209,M33r,,161.61,161.81,subchron,#BFE7F1
1208,M34n.1n,,161.81,161.89,subchron,#BFE7F1
1207,M34n.1r,,161.89,162.28,subchron,#BFE7F1
1206,M34n.2n,,162.28,162.37,subchron,#BFE7F1
1205,M34r,,162.37,162.49,subchron,#BFE7F1
1204,M35n,,162.49,162.55,subchron,#BFE7F1
1203,M35r,,162.55,162.7,subchron,#BFE7F1
1202,M36n.1n,,162.7,162.95,subchron,#BFE7F1
1201,M36n.1r,,162.95,163.1,subchron,#BFE7F1
1200,M36n.2n,,163.1,163.16,subchron,#BFE7F1
1199,M36r,,163.16,163.29,subchron,#BFE7F1
1198,M37n.1n,,163.29,163.53,subchron,#34B2C9
1197,M37n.1r,,163.53,163.65,subchron,#BFE7E5
1196,M37n.2n,,163.65,163.76,subchron,#BFE7E5
1195,M37r,,163.76,163.88,subchron,#BFE7E5
1194,M38n.1n,,163.88,163.99,subchron,#BFE7E5
1193,M38n.1r,,163.99,164.05,subchron,#BFE7E5
1192,M38n.2n,,164.05,164.15,subchron,#BFE7E5
1191,M38n.2r,,164.15,164.24,subchron,#BFE7E5
1190,M38n.3n,,164.24,164.32,subchron,#BFE7E5
1189,M38n.3r,,164.32,164.43,subchron,#BFE7E5
1188,M38n.4n,,164.43,164.65,subchron,#BFE7E5
1187,M28n.4r,,164.65,164.78,subchron,#BFE7E5
1186,M38n.5n,,164.78,164.86,subchron,#BFE7E5
1185,M38r,,164.86,165.04,subchron,#BFE7E5
1184,M39n.1n,,165.04,165.13,subchron,#BFE7E5
1183,M39n.1r,,165.13,165.42,subchron,#BFE7E5
1182,M39n.2n,,165.42,165.85,subchron,#BFE7E5
1181,M39n.2r,,165.85,166,subchron,#BFE7E5
1180,M39n.3n,,166,166.07,subchron,#BFE7E5
1179,M39n.3r,,166.07,166.23,subchron,#80CFD8
1178,M39n.4n,,166.23,166.31,subchron,#B3E2E3
1177,M39n.4r,,166.31,166.41,subchron,#B3E2E3
1176,M39n.5n,,166.41,166.47,subchron,#B3E2E3
1175,M39n.5r,,166.47,166.56,subchron,#B3E2E3
1174,M39n.6n,,166.56,166.64,subchron,#B3E2E3
1173,M39r,,166.64,166.72,subchron,#B3E2E3
1172,M40n.1n,,166.72,166.77,subchron,#B3E2E3
1171,M40n.1r,,166.77,166.89,subchron,#B3E2E3
1170,M40n.2n,,166.89,167,subchron,#B3E2E3
1169,M40n.2r,,167,167.08,subchron,#B3E2E3
1168,M40n.3n,,167.08,167.13,subchron,#B3E2E3
1167,M40r,,167.13,167.47,subchron,#B3E2E3
1166,M41n.1n,,167.47,167.53,subchron,#B3E2E3
1165,M41n.1r,,167.53,167.58,subchron,#B3E2E3
1164,M41n.2n,,167.58,167.61,subchron,#B3E2E3
1163,M41n.2r,,167.61,167.65,subchron,#B3E2E3
1162,M41n.3n,,167.65,167.79,subchron,#B3E2E3
1161,M41r,,167.79,168.15,subchron,#B3E2E3
1160,M42n.1n,,168.15,168.28,subchron,#B3E2E3
1159,M42n.1r,,168.28,168.56,subchron,#80CFD8
1158,M42n.2n,,168.56,168.65,subchron,#A6DDE0
1157,M42.2r,,168.65,168.73,subchron,#A6DDE0
1156,M42.3n,,168.73,168.85,subchron,#A6DDE0
1155,M42n.3r,,168.85,168.87,subchron,#A6DDE0
1154,M42n.4n,,168.87,169.11,subchron,#A6DDE0
1153,M42r,,169.11,169.24,subchron,#A6DDE0
1152,M43.1n,,169.24,169.3,subchron,#A6DDE0
1151,M43.1r,,169.3,169.52,subchron,#A6DDE0
1150,M43n.2n,,169.52,169.63,subchron,#A6DDE0
1149,M43n.2r,,169.63,169.75,subchron,#A6DDE0
1148,M43n.3n,,169.75,169.86,subchron,#A6DDE0
1147,M43r,,169.86,169.99,subchron,#A6DDE0
1146,M44n.1n,,169.99,170.22,subchron,#A6DDE0
1145,M44n.1r,,170.22,170.62,subchron,#80CFD8
1144,M44n.2n,,170.62,170.76,subchron,#9AD9DD
