/* DATA DESCRIPTION:
	Calcium [mg/kg] (Ca) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Chromium [mg/kg] (Cr) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Copper [mg/kg] (Cu) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Iron [mg/kg] (Fe) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Potassium [mg/kg] (K) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Magnesium [mg/kg] (Mg) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Manganese [mg/kg] (Mn) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Nickel [mg/kg] (Ni) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Phosphorus [mg/kg] (P) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Silicon [mg/kg] (Si) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Strontium [mg/kg] (Sr) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Titanium [mg/kg] (Ti) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Vanadium [mg/kg] (V) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Zinc [mg/kg] (Zn) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Zirconium [mg/kg] (Zr) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	200 data points
*/
Event	Sample label	Prop IGSN	Depth sed [m]	Al [mg/kg]	Ba [mg/kg]	Br [mg/kg]	Ca [mg/kg]	Cr [mg/kg]	Cu [mg/kg]	Fe [mg/kg]	K [mg/kg]	Mg [mg/kg]	Mn [mg/kg]	Ni [mg/kg]	P [mg/kg]	Si [mg/kg]	Sr [mg/kg]	Ti [mg/kg]	V [mg/kg]	Zn [mg/kg]	Zr [mg/kg]
386-M0087B	386-M0087B-1H-1,56-58	IBCR0386EX7KI01	0.56	45055	553	96	11099	35.6	75.2	29143	15729	12636	532	27.1	294	274322	135	2585	92.0	83.3	84.6
386-M0087B	386-M0087B-1H-3,77-79	IBCR0386EXRKI01	2.47	49848	597	60	8842	37.0	85.2	29283	18283	12010	626	29.1	251	301387	114	2482	87.9	82.8	86.9
386-M0087B	386-M0087B-1H-5,90-92	IBCR0386EXCKI01	4.61	47819	488	111	8201	50.0	96.9	31318	17374	12949	491	33.4	344	312080	110	2785	94.2	90.4	77.9
386-M0087B	386-M0087B-1H-7,90-92	IBCR0386EXHKI01	6.64	50927	527	104	10715	54.0	83.7	32268	16866	13671	523	30.0	453	313569	141	2944	99.0	90.2	98.9
386-M0087B	386-M0087B-1H-9,90-92	IBCR0386EXMKI01	8.65	41248	509	115	13150	58.7	47.3	31179	14727	13367	497	28.6	462	295218	160	2953	85.5	88.4	114.3
386-M0087B	386-M0087B-1H-11,90-92	IBCR0386EXWKI01	10.66	41164	475	137	12567	61.8	56.4	31745	14584	13606	497	31.4	486	300106	147	3022	91.3	91.7	106.2
386-M0087B	386-M0087B-1H-13,90-92	IBCR0386EX1LI01	12.68	39526	484	112	13783	68.3	56.6	30642	14087	13228	529	30.1	429	280181	161	2853	88.0	88.1	95.9
386-M0087B	386-M0087B-1H-15,90-92	IBCR0386EX6LI01	14.69	50140	609	109	9539	45.4	105.8	32937	17241	13403	486	34.6	520	289224	120	2937	108.4	94.5	79.4
386-M0087B	386-M0087B-1H-17,90-92	IBCR0386EXBLI01	16.71	49647	562	90	7873	42.6	100.9	31117	17654	12765	532	30.9	320	312513	109	2705	105.9	88.2	74.8
386-M0087B	386-M0087B-1H-19,78-80	IBCR0386EXGLI01	18.61	42401	596	79	9607	38.4	77.5	25845	16605	11354	486	23.0	295	290760	117	2265	80.9	74.0	80.5
