/* DATA DESCRIPTION:
Event(s):	386-M0087B (JTPN-02A) * LATITUDE: 39.440650 * LONGITUDE: 144.216183 * DATE/TIME START: 2021-05-03T00:00:00 * DATE/TIME END: 2021-05-03T00:00:00 * ELEVATION: -7520.0 m * LOCATION: Japan Trench * CAMPAIGN: Exp386 (URI: https://doi.org/10.14379/iodp.proc.386.2023) * BASIS: Kaimei (URI: https://www.jamstec.go.jp/e/about/equipment/ships/kaimei.html) * METHOD/DEVICE: Giant piston corer (GPC) * COMMENT: IGSN: IBCR0386EHU4001. Comment: 20 m
Comment:	Data was submitted and proofread by Vera Barbara Bender, MARUM - Center for Marine Environmental Sciences (University Bremen) on behalf of ECORD Science Operator Data Management (https://www.ecord.org).
Parameter(s):	Event label (Event)
	Sample code/label (Sample label) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Proposed International Geo Sample Number (Prop IGSN)
	Quartz [%] (Qz) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±1%
	Cristobalite [%] (Crs) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover
	Tridymite [%] (Trd) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover
	Plagioclase [%] (Pl) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Kalifeldspar [%] (Kfs) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Calcite [%] (Cal) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±1%
	High magnesium calcite [%] (HMC) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-3%
	Aragonite [%] (Arg) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-3%
	Dolomite [%] (Dol) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±1%
	Ankerite [%] (Ank) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-3%
	Siderite [%] (Sd) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Siderite/ Magnesite [±2-3%]
	Carbonates [%] (Carb) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: other carbonate minerals
	Gypsum [%] (Gp) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Gypsum Anhydrite Jarosites [±2-5%]
	Apatite [%] (Ap) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Apatite and other Phosphates [±2-5%]
	Sodium chloride [%] (NaCl) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±1%
	Montmorillonite [%] (Mnt) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Sum of Montmorillonites & Smectites [±5-10%]
	Mixed layer clay minerals [%] (Mix layer) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Sum of mixed layer clays [±5-10%]
	Palygorskite [%] (Plg) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Palygorskite Attapulgite [±5%]
	Illite [%] (Ill) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Illites [±5-10%]
	Illite 5Å/10Å Esquevin-index (Ill EI) * METHOD/DEVICE: Calculated
	Muscovite [%] (Ms) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±5-10%
	Biotite [%] (Bt) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±5-10%
	Glauconite [%] (Glt) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±5-10%
	Kaolinite [%] (Kln) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Chlorite [%] (Chl) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Serpentine [%] (Srp) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Serpentinite Talc chrysotile [% ±2-5%]
	Zeolite [%] (Zeo) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Pyroxene [%] (Pyrox) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Pyroxenes [±2-5%]
	Amphibole [%] (Amp) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Amphibols Cordierite Sillimanite Andalusite [±2-5%]
	Garnet [%] (Grt) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Garnet Olivine Corundum Spinel [±2-5%]
	Epidote [%] (Ep) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Rutile [%] (Rt) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Rutile Anatas Zircone [±2-5%]
	Magnetite [%] (Fe3O4) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: ±2-5%
	Iron oxide, FeO [%] (FeO) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: other Fe-Oxides Fe-Hydroxides, Manganit [±5-10%]
	Pyrite, FeS2 [%] (Py) * METHOD/DEVICE: X-ray diffractometer, Bruker, D8 Discover * COMMENT: Pyrites, other sulfides [±2-5%]
	Comment (Comment)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	371 data points
*/
Event	Sample label	Depth sed [m]	Prop IGSN	Qz [%]	Crs [%]	Trd [%]	Pl [%]	Kfs [%]	Cal [%]	HMC [%]	Arg [%]	Dol [%]	Ank [%]	Sd [%]	Carb [%]	Gp [%]	Ap [%]	NaCl [%]	Mnt [%]	Mix layer [%]	Plg [%]	Ill [%]	Ill EI	Ms [%]	Bt [%]	Glt [%]	Kln [%]	Chl [%]	Srp [%]	Zeo [%]	Pyrox [%]	Amp [%]	Grt [%]	Ep [%]	Rt [%]	Fe3O4 [%]	FeO [%]	Py [%]	Comment
386-M0087B	386-M0087B-1H-1_56-58	0.56	IBCR0386EX6KI01	40	0	0	16	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0.09	25	0	0.0	0.0	7	0	0	0	2	0	0	0	3	0	0	
386-M0087B	386-M0087B-1H-3_77-79	2.47	IBCR0386EXQKI01	43	2	0	14	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0.18	28	0	0.0	0.0	6	0	0	0	2	0	0	0	0	0	0	
386-M0087B	386-M0087B-1H-5_90-92	4.61	IBCR0386EXBKI01	43	0	0	18	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0.11	17	0	0.0	0.0	10	0	0	0	0	0	0	0	0	0	2	
386-M0087B	386-M0087B-1H-7_90-92	6.64	IBCR0386EXGKI01	38	0	0	28	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0.17	13	0	0.0	0.0	10	0	0	0	3	0	0	0	0	0	0	
386-M0087B	386-M0087B-1H-9_90-92	8.65	IBCR0386EXLKI01	46	0	0	19	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0.13	10	0	0.0	0.0	7	0	0	4	2	0	0	0	0	0	0	
386-M0087B	386-M0087B-1H-11_90-92	10.66	IBCR0386EXVKI01	47	0	0	16	0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0.09	12	0	0.0	0.0	9	0	0	0	0	0	0	0	0	0	2	
386-M0087B	386-M0087B-1H-13_90-92	12.68	IBCR0386EX0LI01	46	0	0	20	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0.13	15	0	0.0	0.0	9	0	0	0	5	0	0	0	0	0	0	
386-M0087B	386-M0087B-1H-15_90-92	14.69	IBCR0386EX5LI01	44	0	0	19	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0.14	16	0	0.0	0.0	10	0	0	0	0	0	0	0	0	0	0	sodalite
386-M0087B	386-M0087B-1H-17_90-92	16.71	IBCR0386EXALI01	40	0	0	19	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.17	23	0	0.0	0.0	10	0	0	0	3	0	0	0	0	0	0	
386-M0087B	386-M0087B-1H-19_78-80	18.61	IBCR0386EXFLI01	48	0	0	23	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.14	13	0	0.0	0.0	10	0	0	0	5	0	0	0	0	0	0	
